"STUDY_ID","YEAR","LOCATION","ENTRY","IS_CHECK","STUDY_TYPE","SITE","YIELD_ADJ"
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","03WA-119.4",FALSE,"S2MET","Aberdeen",6218.96052862068
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","04AB013-79",FALSE,"S2MET","Aberdeen",6142.37102157985
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","04AB088-46",FALSE,"S2MET","Aberdeen",6496.85001488884
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","04WA-102.43",FALSE,"S2MET","Aberdeen",6544.32998689483
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","04WA-118.11",FALSE,"S2MET","Aberdeen",5886.60142902855
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","04WNZ-128",FALSE,"S2MET","Aberdeen",7117.7313363736
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","05WA-303.17",FALSE,"S2MET","Aberdeen",6000.36289539451
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","05WA-324.17",FALSE,"S2MET","Aberdeen",7903.09780251035
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","05WA-360.21",FALSE,"S2MET","Aberdeen",6224.55125556554
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-406.18",FALSE,"S2MET","Aberdeen",6214.14533287402
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-406.6",FALSE,"S2MET","Aberdeen",7377.57440419444
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-412.14",FALSE,"S2MET","Aberdeen",5822.01821399569
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-419.6",FALSE,"S2MET","Aberdeen",5030.54752216217
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-422.19",FALSE,"S2MET","Aberdeen",6671.21349579059
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-425.3",FALSE,"S2MET","Aberdeen",6259.84179467523
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-427.31",FALSE,"S2MET","Aberdeen",7411.23710287604
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-427.50",FALSE,"S2MET","Aberdeen",6600.16963469074
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-431.16",FALSE,"S2MET","Aberdeen",7228.80344967244
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-431.25",FALSE,"S2MET","Aberdeen",5778.47577047099
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-444.5",FALSE,"S2MET","Aberdeen",7208.66147713567
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-448.5",FALSE,"S2MET","Aberdeen",6363.11069845379
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-455.5",FALSE,"S2MET","Aberdeen",5803.76540984612
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-461.1",FALSE,"S2MET","Aberdeen",5873.04196173825
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-466.6",FALSE,"S2MET","Aberdeen",6450.53298733593
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","06WA-475.15",FALSE,"S2MET","Aberdeen",5471.92121799189
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","07WA-616.1",FALSE,"S2MET","Aberdeen",7491.08369970085
"S2MET_2016_Aberdeen","2016","Aberdeen, ID","07WA-682.1",FALSE,"S2MET","Aberdeen",7214.39096849361
