trial,location,environment,planting_date,harvest_date,latitude,longitude,elevation,year,yday,prcp,swe,tmax,tmin,vp,radn,daylength
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,1,0,28,-6,-17,160,5.905612875,8.544000108506944
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,2,0,28,-2,-13.5,200,6.004039662382811,8.544000108506944
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,3,3,32,-3,-14.5,200,4.527636443632812,8.544000108506944
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,4,0,32,-8.5,-14.5,200,3.881779294921875,8.64
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,5,0,32,3.5,-10,280,6.66869741015625,8.64
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,6,0,28,8.5,-4.5,440,6.469632,8.64
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,7,0,28,3.5,-11,280,6.867763294921875,8.64
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,8,0,28,-0.5,-11,280,5.971968,8.64
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,9,0,28,-3.5,-13.5,200,5.937684502226562,8.735999891493055
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,10,0,28,1.5,-8,320,5.736406776796877,8.735999891493055
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,11,2,28,2,-5.5,400,4.830658691953123,8.735999891493055
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,12,1,32,-0.5,-6.5,360,4.02554875,8.735999891493055
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,13,0,32,0.5,-8.5,320,5.799444143437505,8.831999782986111
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,14,0,32,0.5,-12,240,7.122124625,8.831999782986111
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,15,0,32,4,-9.5,280,7.325613705937505,8.831999782986111
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,16,0,32,7,-5.5,400,7.199539375,8.928000217013889
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,17,0,32,6,-5.5,400,6.99383844617188,8.928000217013889
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,18,0,28,11,-0.5,600,6.89098749132812,8.928000217013889
2015_S2C1F4_BZ15,Bozeman,BZD15,2015-04-24,2015-08-31,45.6732,-111.1541,1447,2015,19,0,24,5.5,-1.5,560,4.989911298281252,9.024000108506945
